rcept_dt,corp_cls,corp_name,stock_code,report_nm,rcept_no,flr_nm
20251203,Y,한화손해보험,000370,임원ㆍ주요주주특정증권등소유상황보고서,20251203000081,김승균
20251203,K,에쎈테크,043340,기업설명회(IR)개최              ,20251203900160,에쎈테크
20251203,Y,HD현대중공업,329180,임원ㆍ주요주주특정증권등소유상황보고서,20251203000080,김성훈
20251203,Y,한화손해보험,000370,임원ㆍ주요주주특정증권등소유상황보고서,20251203000078,이준호
20251203,Y,한화손해보험,000370,임원ㆍ주요주주특정증권등소유상황보고서,20251203000076,서지훈
20251203,E,클린에너지위탁관리부동산투자회사,,특수관계인으로부터주식의취득,20251203000075,클린에너지위탁관리부동산투자회사
20251203,K,링네트,042500,자기주식처분결과보고서,20251203000074,링네트
20251203,E,코리아디앤아이,,특수관계인으로부터자금차입,20251203000072,코리아디앤아이
20251203,K,우양에이치씨,101970,기업설명회(IR)개최              ,20251203900142,우양에이치씨
20251203,E,한국투자증권,,투자설명서(일괄신고),20251203000070,한국투자증권
20251203,E,원익디투아이,,특수관계인으로부터부동산임차,20251203000069,원익디투아이
20251203,Y,삼화페인트공업,000390,주식등의대량보유상황보고서(일반),20251203000068,"ChugokuMarinePaints,Ltd."
20251203,K,에스엠,041510,주식등의대량보유상황보고서(약식),20251203000066,"티로우프라이스어소시에이트,인크."
20251203,K,와이엔텍,067900,주주총회소집공고,20251203000064,와이엔텍
20251203,K,하이록코리아,013030,주식등의대량보유상황보고서(일반),20251203000063,문휴건
20251203,K,브이씨,365900,주식등의대량보유상황보고서(일반),20251203000062,김준오
20251203,K,코아스템켐온,166480,주식등의대량보유상황보고서(일반),20251203000061,김경숙
20251203,Y,한신공영,004960,[기재정정]단일판매ㆍ공급계약체결              ,20251203800131,한신공영
20251203,K,브이씨,365900,임원ㆍ주요주주특정증권등소유상황보고서,20251203000058,김준오
20251203,K,멕아이씨에스,058110,주주총회소집결의              (임시주주총회),20251203900125,멕아이씨에스
20251203,K,멕아이씨에스,058110,주주명부폐쇄기간또는기준일설정              ,20251203900124,멕아이씨에스
20251203,Y,한국자산신탁,123890,[기재정정]소송등의제기ㆍ신청(일정금액이상의청구)              ,20251203800120,한국자산신탁
20251203,E,대한메탈,,[기재정정]연결감사보고서 (2024.12),20251203000055,세영회계법인
20251203,E,대한메탈,,[기재정정]감사보고서 (2024.12),20251203000052,세영회계법인
20251203,Y,디앤디플랫폼리츠,377190,기타경영사항(자율공시)              ,20251203800101,디앤디플랫폼리츠
20251203,Y,GS건설,006360,단일판매ㆍ공급계약체결              ,20251203800112,GS건설
20251203,K,앤씨앤,092600,타법인주식및출자증권취득결정              ,20251203900103,앤씨앤
20251203,E,엘지마그나이파워트레인,,타인을위한채무보증결정,20251203000049,엘지마그나이파워트레인
20251203,E,하나은행,004940,증권발행실적보고서,20251203000048,하나은행
