stock_code,gcn_emb_0,gcn_emb_1,gcn_emb_2,gcn_emb_3,gcn_emb_4,gcn_emb_5,gcn_emb_6,gcn_emb_7,gcn_emb_8,gcn_emb_9,gcn_emb_10,gcn_emb_11,gcn_emb_12,gcn_emb_13,gcn_emb_14,gcn_emb_15
004800,-0.31384653,-0.38069323,0.3760934,0.40702903,-0.15300964,0.093475,0.060268685,-0.18089837,0.21045633,-0.067861065,0.41656837,0.2143389,0.18980284,-0.19649401,0.14255467,0.13275522
004840,0.066087864,0.17653826,-0.19238423,-0.051173504,0.12611943,-0.020259008,-0.4871873,-0.019937998,-0.34669584,0.2434302,-0.5358968,0.17589436,-0.11149389,-0.086434074,0.20456147,-0.33383098
004920,0.39995342,0.18363118,-0.21023567,-0.3577338,0.32239106,0.18957473,-0.25470832,0.377443,-0.12815222,-0.097050175,-0.20402628,-0.26852554,0.15493128,0.094125375,-0.30252054,-0.15157144
004960,0.39101022,0.11850111,-0.07290686,-0.41760442,0.15127566,0.050387993,-0.001459339,0.21775083,0.02551254,-0.19686472,0.09011236,-0.5231549,0.14759047,-0.01546415,-0.48688596,0.014864747
004980,-0.02020983,-0.27207598,0.021559099,-0.0010519304,0.33683646,0.280092,-0.5893801,-0.36814934,0.100746974,-0.07371048,-0.29897624,-0.046034474,0.20498487,-0.2799191,-0.047083933,-0.14355382
004990,-0.31058943,-0.37548152,0.37761623,0.4128795,-0.16817008,0.072450556,0.053349033,-0.18998973,0.1978951,-0.07165461,0.41424832,0.21335083,0.17174259,-0.2238292,0.14752287,0.119317904
005010,0.43869153,0.23165786,-0.21211705,-0.40312234,0.23978508,0.0914323,-0.12813357,0.37158498,-0.14860032,-0.08804356,-0.22008976,-0.33786383,0.051276237,0.09519849,-0.313464,-0.15380448
005070,0.3266961,0.106915765,-0.08925661,-0.3950619,0.19785798,0.11222494,-0.01182688,0.37622663,0.011374658,-0.16761658,0.031479478,-0.4823866,0.14161983,0.067431696,-0.48721516,-0.021795936
005090,0.10950152,0.20579839,-0.26431575,-0.036355183,0.13005951,-0.023167081,-0.41789958,-0.01879928,-0.33640742,0.2099728,-0.5759258,0.1512576,-0.19972523,-0.0022486246,0.20024715,-0.30034012
005110,-0.16803662,-0.21107951,0.3100246,0.23008215,-0.3636702,-0.10306188,0.44971165,-0.1814863,0.16708495,-0.069731236,0.53691906,0.033577308,-0.036454182,-0.13845162,0.053180005,0.23363484
005180,-0.13408417,-0.3528308,0.3439613,0.25627688,-0.16421062,0.053117346,0.31535235,-0.3097914,0.2543377,-0.15337609,0.52522165,-0.009420023,0.12299992,-0.10364437,-0.0020756416,0.24146733
